Graph A: 30 vertices, 130 edges
Edge thresholds: edges < 115 or edges > 145

Graph     Nodes     Edges     GED            EdgeStatus     
------------------------------------------------------------
B1        30        124       164            IN_RANGE       
B2        30        135       197            IN_RANGE       
B3        30        138       166            IN_RANGE       
B4        30        135       197            IN_RANGE       
B5        30        142       196            IN_RANGE       
B6        30        127       187            IN_RANGE       
B7        30        136       190            IN_RANGE       
B8        30        135       191            IN_RANGE       
B9        30        151       193            ABOVE          
B10       30        144       192            IN_RANGE       
B11       30        135       187            IN_RANGE       
B12       30        142       194            IN_RANGE       
B13       30        129       187            IN_RANGE       
B14       30        132       188            IN_RANGE       
B15       30        133       171            IN_RANGE       
B16       30        145       193            IN_RANGE       
B17       30        146       192            ABOVE          
B18       30        130       188            IN_RANGE       
B19       30        148       202            ABOVE          
B20       30        153       199            ABOVE          
B21       30        145       201            IN_RANGE       
B22       30        131       177            IN_RANGE       
B23       30        133       183            IN_RANGE       
B24       30        153       197            ABOVE          
B25       30        130       182            IN_RANGE       
B26       30        156       184            ABOVE          
B27       30        153       209            ABOVE          
B28       30        150       186            ABOVE          
B29       30        135       181            IN_RANGE       
B30       30        128       188            IN_RANGE       
B31       30        141       189            IN_RANGE       
B32       30        138       192            IN_RANGE       
B33       30        133       173            IN_RANGE       
B34       30        130       198            IN_RANGE       
B35       30        146       186            ABOVE          
B36       30        146       184            ABOVE          
B37       30        139       193            IN_RANGE       
B38       30        149       187            ABOVE          
B39       30        128       188            IN_RANGE       
B40       30        133       213            IN_RANGE       
B41       30        140       184            IN_RANGE       
B42       30        148       194            ABOVE          
B43       30        139       203            IN_RANGE       
B44       30        128       184            IN_RANGE       
B45       30        136       192            IN_RANGE       
B46       30        138       184            IN_RANGE       
B47       30        132       190            IN_RANGE       
B48       30        148       184            ABOVE          
B49       30        134       190            IN_RANGE       
B50       30        126       174            IN_RANGE       
B51       30        146       216            ABOVE          
B52       30        151       185            ABOVE          
B53       30        149       189            ABOVE          
B54       30        127       175            IN_RANGE       
B55       30        133       195            IN_RANGE       
B56       30        132       180            IN_RANGE       
B57       30        137       185            IN_RANGE       
B58       30        141       191            IN_RANGE       
B59       30        128       190            IN_RANGE       
B60       30        134       176            IN_RANGE       
B61       30        147       195            ABOVE          
B62       30        137       185            IN_RANGE       
B63       30        145       191            IN_RANGE       
B64       30        125       169            IN_RANGE       
B65       30        139       181            IN_RANGE       
B66       30        124       184            IN_RANGE       
B67       30        143       199            IN_RANGE       
B68       30        136       184            IN_RANGE       
B69       30        135       177            IN_RANGE       
B70       30        147       183            ABOVE          
B71       30        147       193            ABOVE          
B72       30        152       186            ABOVE          
B73       30        160       184            ABOVE          
B74       30        142       176            IN_RANGE       
B75       30        151       191            ABOVE          
B76       30        145       191            IN_RANGE       
B77       30        134       186            IN_RANGE       
B78       30        126       182            IN_RANGE       
B79       30        133       183            IN_RANGE       
B80       30        143       183            IN_RANGE       
B81       30        156       186            ABOVE          
B82       30        133       185            IN_RANGE       
B83       30        134       190            IN_RANGE       
B84       30        149       187            ABOVE          
B85       30        164       212            ABOVE          
B86       30        150       196            ABOVE          
B87       30        139       185            IN_RANGE       
B88       30        127       183            IN_RANGE       
B89       30        154       188            ABOVE          
B90       30        142       180            IN_RANGE       
B91       30        137       187            IN_RANGE       
B92       30        144       190            IN_RANGE       
B93       30        120       180            IN_RANGE       
B94       30        123       183            IN_RANGE       
B95       30        124       162            IN_RANGE       
B96       30        142       190            IN_RANGE       
B97       30        135       181            IN_RANGE       
B98       30        126       180            IN_RANGE       
B99       30        135       173            IN_RANGE       
B100      30        132       180            IN_RANGE       
B101      30        151       177            ABOVE          
B102      30        126       184            IN_RANGE       
B103      30        128       186            IN_RANGE       
B104      30        144       188            IN_RANGE       
B105      30        138       188            IN_RANGE       
B106      30        136       176            IN_RANGE       
B107      30        149       187            ABOVE          
B108      30        134       178            IN_RANGE       
B109      30        136       192            IN_RANGE       
B110      30        147       173            ABOVE          
B111      30        146       188            ABOVE          
B112      30        127       183            IN_RANGE       
B113      30        142       186            IN_RANGE       
B114      30        144       190            IN_RANGE       
B115      30        153       189            ABOVE          
B116      30        114       176            BELOW          
B117      30        146       182            ABOVE          
B118      30        139       201            IN_RANGE       
B119      30        116       168            IN_RANGE       
B120      30        144       202            IN_RANGE       
B121      30        134       190            IN_RANGE       
B122      30        143       203            IN_RANGE       
B123      30        121       185            IN_RANGE       
B124      30        136       184            IN_RANGE       
B125      30        144       160            IN_RANGE       
B126      30        140       200            IN_RANGE       
B127      30        150       190            ABOVE          
B128      30        132       194            IN_RANGE       
B129      30        142       196            IN_RANGE       
B130      30        131       163            IN_RANGE       
B131      30        131       191            IN_RANGE       
B132      30        152       200            ABOVE          
B133      30        147       175            ABOVE          
B134      30        131       191            IN_RANGE       
B135      30        161       191            ABOVE          
B136      30        133       183            IN_RANGE       
B137      30        138       192            IN_RANGE       
B138      30        152       178            ABOVE          
B139      30        139       197            IN_RANGE       
B140      30        142       196            IN_RANGE       
B141      30        148       204            ABOVE          
B142      30        154       188            ABOVE          
