Graph A: 30 vertices, 130 edges
Edge thresholds: edges < 115 or edges > 145

Graph     Nodes     Edges     GED            EdgeStatus     
------------------------------------------------------------
B1        30        133       185            IN_RANGE       
B2        30        126       176            IN_RANGE       
B3        30        131       181            IN_RANGE       
B4        30        131       201            IN_RANGE       
B5        30        134       192            IN_RANGE       
B6        30        131       171            IN_RANGE       
B7        30        129       183            IN_RANGE       
B8        30        131       181            IN_RANGE       
B9        30        134       180            IN_RANGE       
B10       30        133       175            IN_RANGE       
B11       30        132       178            IN_RANGE       
B12       30        130       188            IN_RANGE       
B13       30        132       176            IN_RANGE       
B14       30        130       180            IN_RANGE       
B15       30        132       198            IN_RANGE       
B16       30        130       180            IN_RANGE       
B17       30        131       193            IN_RANGE       
B18       30        130       190            IN_RANGE       
B19       30        131       187            IN_RANGE       
B20       30        129       189            IN_RANGE       
B21       30        135       191            IN_RANGE       
B22       30        128       166            IN_RANGE       
B23       30        129       179            IN_RANGE       
B24       30        132       176            IN_RANGE       
B25       30        130       198            IN_RANGE       
B26       30        129       193            IN_RANGE       
B27       30        132       180            IN_RANGE       
B28       30        134       196            IN_RANGE       
B29       30        130       182            IN_RANGE       
B30       30        129       185            IN_RANGE       
B31       30        132       182            IN_RANGE       
B32       30        131       177            IN_RANGE       
B33       30        129       195            IN_RANGE       
B34       30        131       193            IN_RANGE       
B35       30        130       174            IN_RANGE       
B36       30        131       181            IN_RANGE       
B37       30        132       190            IN_RANGE       
B38       30        129       189            IN_RANGE       
B39       30        127       183            IN_RANGE       
B40       30        133       193            IN_RANGE       
B41       30        129       189            IN_RANGE       
B42       30        130       192            IN_RANGE       
B43       30        129       185            IN_RANGE       
B44       30        130       196            IN_RANGE       
B45       30        129       173            IN_RANGE       
B46       30        131       199            IN_RANGE       
B47       30        132       184            IN_RANGE       
B48       30        127       181            IN_RANGE       
B49       30        131       183            IN_RANGE       
B50       30        132       184            IN_RANGE       
B51       30        130       186            IN_RANGE       
B52       30        126       188            IN_RANGE       
B53       30        129       203            IN_RANGE       
B54       30        131       187            IN_RANGE       
B55       30        132       182            IN_RANGE       
B56       30        134       170            IN_RANGE       
B57       30        136       184            IN_RANGE       
B58       30        134       192            IN_RANGE       
B59       30        132       192            IN_RANGE       
B60       30        135       181            IN_RANGE       
B61       30        131       183            IN_RANGE       
B62       30        131       201            IN_RANGE       
B63       30        130       186            IN_RANGE       
B64       30        131       189            IN_RANGE       
B65       30        130       190            IN_RANGE       
B66       30        131       179            IN_RANGE       
B67       30        133       205            IN_RANGE       
B68       30        132       182            IN_RANGE       
B69       30        132       184            IN_RANGE       
B70       30        132       204            IN_RANGE       
B71       30        131       197            IN_RANGE       
B72       30        127       193            IN_RANGE       
B73       30        128       192            IN_RANGE       
B74       30        129       179            IN_RANGE       
B75       30        128       188            IN_RANGE       
B76       30        131       179            IN_RANGE       
B77       30        127       203            IN_RANGE       
B78       30        130       184            IN_RANGE       
B79       30        130       176            IN_RANGE       
B80       30        130       180            IN_RANGE       
B81       30        127       183            IN_RANGE       
B82       30        128       178            IN_RANGE       
B83       30        134       202            IN_RANGE       
B84       30        131       187            IN_RANGE       
B85       30        128       192            IN_RANGE       
B86       30        131       179            IN_RANGE       
B87       30        130       186            IN_RANGE       
B88       30        131       189            IN_RANGE       
B89       30        134       192            IN_RANGE       
B90       30        128       192            IN_RANGE       
B91       30        131       177            IN_RANGE       
B92       30        129       205            IN_RANGE       
B93       30        128       192            IN_RANGE       
B94       30        129       197            IN_RANGE       
B95       30        133       187            IN_RANGE       
B96       30        131       191            IN_RANGE       
B97       30        130       184            IN_RANGE       
B98       30        132       192            IN_RANGE       
B99       30        131       187            IN_RANGE       
B100      30        132       198            IN_RANGE       
B101      30        131       183            IN_RANGE       
B102      30        135       185            IN_RANGE       
B103      30        127       197            IN_RANGE       
B104      30        131       181            IN_RANGE       
B105      30        131       181            IN_RANGE       
B106      30        132       190            IN_RANGE       
B107      30        127       181            IN_RANGE       
B108      30        128       174            IN_RANGE       
B109      30        130       190            IN_RANGE       
B110      30        129       185            IN_RANGE       
B111      30        131       179            IN_RANGE       
B112      30        130       182            IN_RANGE       
B113      30        129       183            IN_RANGE       
B114      30        125       183            IN_RANGE       
B115      30        131       159            IN_RANGE       
B116      30        135       203            IN_RANGE       
B117      30        133       179            IN_RANGE       
B118      30        128       164            IN_RANGE       
B119      30        131       185            IN_RANGE       
B120      30        130       190            IN_RANGE       
B121      30        128       170            IN_RANGE       
B122      30        131       171            IN_RANGE       
B123      30        132       192            IN_RANGE       
B124      30        128       194            IN_RANGE       
B125      30        128       168            IN_RANGE       
B126      30        130       188            IN_RANGE       
B127      30        132       194            IN_RANGE       
B128      30        130       188            IN_RANGE       
B129      30        129       197            IN_RANGE       
B130      30        131       183            IN_RANGE       
B131      30        129       181            IN_RANGE       
B132      30        131       185            IN_RANGE       
B133      30        129       181            IN_RANGE       
B134      30        129       185            IN_RANGE       
B135      30        132       194            IN_RANGE       
B136      30        131       183            IN_RANGE       
B137      30        129       195            IN_RANGE       
B138      30        131       187            IN_RANGE       
B139      30        133       191            IN_RANGE       
B140      30        130       198            IN_RANGE       
B141      30        127       195            IN_RANGE       
B142      30        133       183            IN_RANGE       
B143      30        135       181            IN_RANGE       
B144      30        131       193            IN_RANGE       
B145      30        131       189            IN_RANGE       
B146      30        133       183            IN_RANGE       
B147      30        132       194            IN_RANGE       
B148      30        132       178            IN_RANGE       
B149      30        131       177            IN_RANGE       
B150      30        130       184            IN_RANGE       
B151      30        130       170            IN_RANGE       
B152      30        131       183            IN_RANGE       
B153      30        132       192            IN_RANGE       
B154      30        130       200            IN_RANGE       
B155      30        130       186            IN_RANGE       
B156      30        128       186            IN_RANGE       
B157      30        127       187            IN_RANGE       
B158      30        128       176            IN_RANGE       
B159      30        131       183            IN_RANGE       
B160      30        133       171            IN_RANGE       
B161      30        129       193            IN_RANGE       
B162      30        130       188            IN_RANGE       
B163      30        132       190            IN_RANGE       
B164      30        131       183            IN_RANGE       
B165      30        130       198            IN_RANGE       
B166      30        128       170            IN_RANGE       
B167      30        128       184            IN_RANGE       
B168      30        131       195            IN_RANGE       
B169      30        129       179            IN_RANGE       
B170      30        128       182            IN_RANGE       
B171      30        131       197            IN_RANGE       
B172      30        130       178            IN_RANGE       
B173      30        133       183            IN_RANGE       
B174      30        129       185            IN_RANGE       
B175      30        125       185            IN_RANGE       
B176      30        130       190            IN_RANGE       
B177      30        129       185            IN_RANGE       
B178      30        129       183            IN_RANGE       
B179      30        132       188            IN_RANGE       
B180      30        131       197            IN_RANGE       
B181      30        132       192            IN_RANGE       
B182      30        130       180            IN_RANGE       
B183      30        129       189            IN_RANGE       
B184      30        134       186            IN_RANGE       
B185      30        132       192            IN_RANGE       
B186      30        132       200            IN_RANGE       
B187      30        131       183            IN_RANGE       
B188      30        128       166            IN_RANGE       
B189      30        128       178            IN_RANGE       
B190      30        130       188            IN_RANGE       
B191      30        127       181            IN_RANGE       
B192      30        130       190            IN_RANGE       
B193      30        129       183            IN_RANGE       
B194      30        133       177            IN_RANGE       
B195      30        128       178            IN_RANGE       
B196      30        129       201            IN_RANGE       
B197      30        129       179            IN_RANGE       
B198      30        128       186            IN_RANGE       
B199      30        131       187            IN_RANGE       
B200      30        128       186            IN_RANGE       
B201      30        131       191            IN_RANGE       
B202      30        131       177            IN_RANGE       
B203      30        135       193            IN_RANGE       
B204      30        131       181            IN_RANGE       
B205      30        128       188            IN_RANGE       
B206      30        132       178            IN_RANGE       
B207      30        130       172            IN_RANGE       
B208      30        130       202            IN_RANGE       
B209      30        133       195            IN_RANGE       
B210      30        131       181            IN_RANGE       
B211      30        131       185            IN_RANGE       
B212      30        129       189            IN_RANGE       
B213      30        132       184            IN_RANGE       
B214      30        131       159            IN_RANGE       
B215      30        128       180            IN_RANGE       
B216      30        133       187            IN_RANGE       
B217      30        129       187            IN_RANGE       
B218      30        130       186            IN_RANGE       
B219      30        129       181            IN_RANGE       
B220      30        132       186            IN_RANGE       
B221      30        133       173            IN_RANGE       
B222      30        130       170            IN_RANGE       
B223      30        129       179            IN_RANGE       
B224      30        130       190            IN_RANGE       
B225      30        133       185            IN_RANGE       
B226      30        130       176            IN_RANGE       
B227      30        133       183            IN_RANGE       
B228      30        129       185            IN_RANGE       
B229      30        132       196            IN_RANGE       
B230      30        136       204            IN_RANGE       
B231      30        131       195            IN_RANGE       
B232      30        131       191            IN_RANGE       
B233      30        131       197            IN_RANGE       
B234      30        130       194            IN_RANGE       
B235      30        132       192            IN_RANGE       
B236      30        131       191            IN_RANGE       
B237      30        132       172            IN_RANGE       
B238      30        127       187            IN_RANGE       
B239      30        133       185            IN_RANGE       
B240      30        135       183            IN_RANGE       
B241      30        132       192            IN_RANGE       
B242      30        129       181            IN_RANGE       
B243      30        129       185            IN_RANGE       
B244      30        132       192            IN_RANGE       
B245      30        129       185            IN_RANGE       
B246      30        131       185            IN_RANGE       
B247      30        132       178            IN_RANGE       
B248      30        127       175            IN_RANGE       
B249      30        132       194            IN_RANGE       
B250      30        129       199            IN_RANGE       
B251      30        126       180            IN_RANGE       
B252      30        133       197            IN_RANGE       
B253      30        129       183            IN_RANGE       
B254      30        131       191            IN_RANGE       
B255      30        131       189            IN_RANGE       
B256      30        128       184            IN_RANGE       
B257      30        133       175            IN_RANGE       
B258      30        131       189            IN_RANGE       
B259      30        133       173            IN_RANGE       
B260      30        132       182            IN_RANGE       
B261      30        132       190            IN_RANGE       
B262      30        127       179            IN_RANGE       
B263      30        132       196            IN_RANGE       
B264      30        129       187            IN_RANGE       
B265      30        131       195            IN_RANGE       
B266      30        131       201            IN_RANGE       
B267      30        133       183            IN_RANGE       
B268      30        129       185            IN_RANGE       
B269      30        129       187            IN_RANGE       
B270      30        131       185            IN_RANGE       
B271      30        132       190            IN_RANGE       
B272      30        127       177            IN_RANGE       
B273      30        136       186            IN_RANGE       
B274      30        131       187            IN_RANGE       
B275      30        131       179            IN_RANGE       
B276      30        131       177            IN_RANGE       
B277      30        131       193            IN_RANGE       
B278      30        131       185            IN_RANGE       
B279      30        129       197            IN_RANGE       
B280      30        130       198            IN_RANGE       
B281      30        129       181            IN_RANGE       
B282      30        135       191            IN_RANGE       
B283      30        137       171            IN_RANGE       
B284      30        133       193            IN_RANGE       
B285      30        133       183            IN_RANGE       
B286      30        129       193            IN_RANGE       
B287      30        131       189            IN_RANGE       
B288      30        129       183            IN_RANGE       
B289      30        131       187            IN_RANGE       
B290      30        132       182            IN_RANGE       
B291      30        130       196            IN_RANGE       
B292      30        131       191            IN_RANGE       
B293      30        129       203            IN_RANGE       
B294      30        131       181            IN_RANGE       
B295      30        130       176            IN_RANGE       
B296      30        130       176            IN_RANGE       
B297      30        129       171            IN_RANGE       
B298      30        128       188            IN_RANGE       
B299      30        134       172            IN_RANGE       
B300      30        137       179            IN_RANGE       
B301      30        130       178            IN_RANGE       
B302      30        131       185            IN_RANGE       
B303      30        129       189            IN_RANGE       
B304      31        131       VERTEX_MISMATCHIN_RANGE       
B305      30        132       178            IN_RANGE       
B306      30        129       179            IN_RANGE       
B307      30        132       182            IN_RANGE       
B308      30        128       184            IN_RANGE       
B309      30        132       188            IN_RANGE       
B310      30        130       196            IN_RANGE       
B311      30        131       179            IN_RANGE       
B312      30        126       192            IN_RANGE       
B313      30        129       185            IN_RANGE       
B314      30        132       188            IN_RANGE       
B315      30        129       177            IN_RANGE       
B316      30        130       172            IN_RANGE       
B317      30        129       185            IN_RANGE       
B318      30        126       184            IN_RANGE       
B319      30        131       189            IN_RANGE       
B320      30        134       194            IN_RANGE       
B321      30        123       187            IN_RANGE       
B322      30        136       198            IN_RANGE       
B323      30        135       185            IN_RANGE       
B324      30        133       191            IN_RANGE       
B325      30        125       187            IN_RANGE       
B326      30        135       187            IN_RANGE       
B327      30        132       178            IN_RANGE       
B328      30        133       197            IN_RANGE       
B329      30        133       181            IN_RANGE       
B330      30        131       185            IN_RANGE       
B331      30        130       200            IN_RANGE       
B332      30        132       192            IN_RANGE       
B333      30        129       199            IN_RANGE       
B334      30        131       173            IN_RANGE       
B335      30        132       184            IN_RANGE       
B336      30        132       184            IN_RANGE       
B337      30        129       185            IN_RANGE       
B338      30        128       178            IN_RANGE       
