Graph A: 40 vertices, 250 edges
Edge thresholds: edges < 230 or edges > 270

Graph     Nodes     Edges     GED            EdgeStatus     
------------------------------------------------------------
B1        40        251       5              IN_RANGE       
B2        40        249       9              IN_RANGE       
B3        40        250       8              IN_RANGE       
B4        40        247       7              IN_RANGE       
B5        40        247       7              IN_RANGE       
B6        40        252       6              IN_RANGE       
B7        40        250       4              IN_RANGE       
B8        40        251       5              IN_RANGE       
B9        40        248       2              IN_RANGE       
B10       40        251       3              IN_RANGE       
B11       40        251       3              IN_RANGE       
B12       40        252       4              IN_RANGE       
B13       40        246       4              IN_RANGE       
B14       40        252       4              IN_RANGE       
B15       40        250       6              IN_RANGE       
B16       40        248       6              IN_RANGE       
B17       40        252       4              IN_RANGE       
B18       40        248       4              IN_RANGE       
B19       40        250       2              IN_RANGE       
B20       40        250       4              IN_RANGE       
B21       40        250       6              IN_RANGE       
B22       40        248       2              IN_RANGE       
B23       40        254       4              IN_RANGE       
B24       40        253       9              IN_RANGE       
B25       40        249       1              IN_RANGE       
B26       40        249       5              IN_RANGE       
B27       40        251       1              IN_RANGE       
B28       40        249       5              IN_RANGE       
B29       40        246       8              IN_RANGE       
B30       40        248       8              IN_RANGE       
B31       40        249       5              IN_RANGE       
B32       40        251       5              IN_RANGE       
B33       40        247       5              IN_RANGE       
B34       40        250       8              IN_RANGE       
B35       40        249       1              IN_RANGE       
B36       40        245       5              IN_RANGE       
B37       40        246       4              IN_RANGE       
B38       40        248       6              IN_RANGE       
B39       40        250       4              IN_RANGE       
B40       40        248       6              IN_RANGE       
B41       40        250       4              IN_RANGE       
B42       40        250       4              IN_RANGE       
B43       40        250       8              IN_RANGE       
B44       40        253       3              IN_RANGE       
B45       40        249       3              IN_RANGE       
B46       40        250       6              IN_RANGE       
B47       40        247       3              IN_RANGE       
B48       40        251       1              IN_RANGE       
B49       40        247       3              IN_RANGE       
B50       40        247       5              IN_RANGE       
B51       40        247       7              IN_RANGE       
B52       40        249       3              IN_RANGE       
B53       40        250       8              IN_RANGE       
B54       40        250       6              IN_RANGE       
B55       40        250       4              IN_RANGE       
B56       40        248       10             IN_RANGE       
B57       40        248       6              IN_RANGE       
B58       40        250       8              IN_RANGE       
B59       40        248       8              IN_RANGE       
B60       40        254       8              IN_RANGE       
B61       40        253       3              IN_RANGE       
B62       40        245       7              IN_RANGE       
B63       40        248       8              IN_RANGE       
B64       40        249       1              IN_RANGE       
B65       40        248       4              IN_RANGE       
B66       40        249       5              IN_RANGE       
B67       40        252       2              IN_RANGE       
B68       40        254       6              IN_RANGE       
B69       40        247       3              IN_RANGE       
B70       40        245       7              IN_RANGE       
B71       40        249       3              IN_RANGE       
B72       40        251       3              IN_RANGE       
B73       40        250       4              IN_RANGE       
B74       40        248       8              IN_RANGE       
B75       40        251       3              IN_RANGE       
B76       40        250       4              IN_RANGE       
B77       40        252       8              IN_RANGE       
B78       40        253       7              IN_RANGE       
B79       40        252       2              IN_RANGE       
B80       40        251       7              IN_RANGE       
B81       40        251       3              IN_RANGE       
B82       40        250       2              IN_RANGE       
B83       40        249       5              IN_RANGE       
B84       40        252       6              IN_RANGE       
B85       40        251       3              IN_RANGE       
B86       40        248       4              IN_RANGE       
B87       40        253       5              IN_RANGE       
B88       40        252       4              IN_RANGE       
B89       40        251       3              IN_RANGE       
B90       40        249       5              IN_RANGE       
B91       40        252       4              IN_RANGE       
B92       40        252       6              IN_RANGE       
B93       40        247       7              IN_RANGE       
B94       40        250       4              IN_RANGE       
B95       40        253       9              IN_RANGE       
B96       40        250       6              IN_RANGE       
B97       40        254       4              IN_RANGE       
B98       40        248       4              IN_RANGE       
B99       40        250       2              IN_RANGE       
B100      40        252       4              IN_RANGE       
B101      40        252       2              IN_RANGE       
B102      40        248       8              IN_RANGE       
B103      40        245       7              IN_RANGE       
B104      40        250       4              IN_RANGE       
B105      40        251       5              IN_RANGE       
B106      40        252       2              IN_RANGE       
B107      40        249       1              IN_RANGE       
B108      40        248       4              IN_RANGE       
B109      40        252       4              IN_RANGE       
B110      40        252       6              IN_RANGE       
B111      40        251       5              IN_RANGE       
B112      40        247       5              IN_RANGE       
B113      40        250       4              IN_RANGE       
B114      40        251       3              IN_RANGE       
B115      40        247       3              IN_RANGE       
B116      40        250       6              IN_RANGE       
B117      40        249       5              IN_RANGE       
B118      40        248       4              IN_RANGE       
B119      40        249       7              IN_RANGE       
B120      40        249       7              IN_RANGE       
B121      40        252       4              IN_RANGE       
B122      40        252       6              IN_RANGE       
B123      40        248       6              IN_RANGE       
B124      40        250       4              IN_RANGE       
B125      40        250       2              IN_RANGE       
B126      40        249       5              IN_RANGE       
B127      40        248       6              IN_RANGE       
B128      40        251       7              IN_RANGE       
B129      40        248       4              IN_RANGE       
B130      40        251       5              IN_RANGE       
B131      40        247       7              IN_RANGE       
B132      40        253       7              IN_RANGE       
B133      40        248       4              IN_RANGE       
B134      40        252       4              IN_RANGE       
B135      40        250       6              IN_RANGE       
B136      40        251       11             IN_RANGE       
B137      40        252       8              IN_RANGE       
B138      40        249       5              IN_RANGE       
